,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
21200,610313074951797337,https://www.airbnb.com/rooms/610313074951797337,20250617032754,2025-06-17,city scrape,"Cozy one bedroom in Williamsburg, near water","Cute, cozy, vintage one bedroom in Williamsburg, close to East River, Bedford Ave restaurants, L and JMZ trains, minutes from Manhattan.",,https://a0.muscache.com/pictures/c9fea168-069c-4ef2-be1b-47d8d25d5ad7.jpg,33283726,https://www.airbnb.com/users/show/33283726,Lukas,2015-05-13,"New York, NY",www.facebook.com/lukas.szymanek,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/9af49ed1-5da9-4b1b-b44c-d82efc096b1d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9af49ed1-5da9-4b1b-b44c-d82efc096b1d.jpg?aki_policy=profile_x_medium,Williamsburg,2.0,2.0,"['email', 'phone']",t,t,,Williamsburg,Brooklyn,40.712582,-73.963127,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dedicated workspace"", ""Essentials"", ""Cooking basics"", ""Stove"", ""Blender"", ""Dishes and silverware"", ""Hot water"", ""Radiant heating"", ""Portable fans"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Hot water kettle"", ""Bed linens"", ""Conditioner"", ""Smoke alarm"", ""Body soap"", ""Self check-in"", ""Clothing storage: closet"", ""Record player"", ""Wifi"", ""Carbon monoxide alarm"", ""Freezer"", ""Air conditioning"", ""Extra pillows and blankets"", ""Cleaning products"", ""Shampoo"", ""Laundromat nearby"", ""Lockbox""]",$92.00,30,90,30,30,90,90,30.0,90.0,,t,0,5,5,205,2025-06-17,15,3,0,38,2,180,16560.0,2022-08-01,2025-04-30,4.93,5.0,4.67,5.0,5.0,4.93,4.87,,f,1,1,0,0,0.43
21400,629530527468606023,https://www.airbnb.com/rooms/629530527468606023,20250617032754,2025-06-17,previous scrape,Private bedroom -3 mins to shopping center,"This comfortable room is prepared in 2022.<br /> <br />Your room is on 2nd floor.<br />This is 4 bedroom 2 bathroom shared apartment.<br />You share 1 bathroom with 2 other rooms.<br /><br />You can use kitchen. There are dishes, silver, microwave, cooking items etc. You can enjoy cooking and save money in your trip!","Flushing Queens is a residential neighborhood.  <br />I have lived in Flushing for 4 years. I feel Flushing is really comfortable area.<br /><br />In addition,Flushing is just around 40min from Manhattan.<br />You will be able to have a great stay in this area, Flushing<br /><br />This house is also at same area to many shopping area.<br /><br />You can spend and enjoy your time there too!!",https://a0.muscache.com/pictures/miso/Hosting-629530527468606023/original/21eced54-156b-44f1-a721-d299bc80c9df.jpeg,204704622,https://www.airbnb.com/users/show/204704622,Momoyo,2018-07-24,,,within a few hours,86%,55%,f,https://a0.muscache.com/im/pictures/user/64b3c8f6-a0ca-4fd9-9e28-cdb89772ec07.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/64b3c8f6-a0ca-4fd9-9e28-cdb89772ec07.jpg?aki_policy=profile_x_medium,Woodside,294.0,306.0,"['email', 'phone']",t,t,Neighborhood highlights,Flushing,Queens,40.75429,-73.83542,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Dedicated workspace"", ""Bed linens"", ""Kitchen"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-17,0,0,0,0,0,0,,,,,,,,,,,,f,215,2,213,0,
21600,638451573988709495,https://www.airbnb.com/rooms/638451573988709495,20250617032754,2025-06-17,city scrape,"Boerum Hill Studio, Near Barclays, Monthly Stay","Bright, cozy studio in the heart of Brooklyn's Boerum Hill neighborhood. Centrally located just three blocks from Barclays Center and Atlantic Terminal, but nestled on a quiet street with access to the shopping, restaurants, and beautiful views of Boerum Hill, Cobble Hill, and Brooklyn Heights. 15 minutes by subway to Manhattan. Elevator Building, Laundry in basement.",,https://a0.muscache.com/pictures/hosting/Hosting-638451573988709495/original/e877c511-c625-400b-bcc1-c0d51b58b14e.jpeg,49123334,https://www.airbnb.com/users/show/49123334,Emily,2015-11-15,"New York, NY","I'll be nearby during your stay,  so you should feel free to contact me about any issues or questions you have about navigating the city.",within a few hours,92%,100%,f,https://a0.muscache.com/im/pictures/user/e9fb96b1-6baf-4efd-b1da-2738a0ac73c9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e9fb96b1-6baf-4efd-b1da-2738a0ac73c9.jpg?aki_policy=profile_x_medium,Boerum Hill,1.0,1.0,"['email', 'phone']",t,f,,Boerum Hill,Brooklyn,40.68805,-73.98438,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,1.0,"[""Dedicated workspace"", ""Cooking basics"", ""Stove"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Dryer"", ""Washer"", ""Kitchen"", ""Bathtub"", ""Oven"", ""Refrigerator"", ""Hot water kettle"", ""Wine glasses"", ""Fire extinguisher"", ""Books and reading material"", ""Microwave"", ""Pets allowed"", ""First aid kit"", ""Smoke alarm"", ""Free parking on premises"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Freezer"", ""Heating"", ""Air conditioning"", ""Coffee maker"", ""Cleaning products"", ""Coffee"", ""Lockbox""]",$257.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,30,60,150,2025-06-17,4,3,0,150,2,180,46260.0,2024-06-04,2025-05-14,5.0,5.0,4.5,5.0,5.0,5.0,4.5,,f,1,1,0,0,0.32
21800,643751687258267958,https://www.airbnb.com/rooms/643751687258267958,20250617032754,2025-06-17,city scrape,"Outstanding view, perfect location, great interior","1 BR Unit in Central midtown (1 block away from Times Square and Bryant Park), <br />cozy and convenient,  located the heart of the city, yet quiet from the inside <br /><br />spacious rooms, big closets <br />Granite kitchen and bathroom countertops<br /><br />bedroom is well decorated & has mirrors<br />high speed internet, 2TV sets, Local cable TV & TV antenna, Alexa,<br />high floor,  lots of natural light, stunning view<br /><br />Common room has a sofa and a folded bed for extra guest (in needed)<br /><br />washer/drier in unit<br /><br />doorman-sweetheart",,https://a0.muscache.com/pictures/6b1ac1fb-7409-48cc-a38d-3c8e82059641.jpg,14072923,https://www.airbnb.com/users/show/14072923,Victoria,2014-04-09,"New York, NY","Welcome stay, I’m letting people in while traveling myself. Having a few spots in and outside the US",within an hour,100%,77%,f,https://a0.muscache.com/im/pictures/user/0133c6b2-aa4e-47f4-a5e5-8bf8b28777a3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0133c6b2-aa4e-47f4-a5e5-8bf8b28777a3.jpg?aki_policy=profile_x_medium,Pentagon City,7.0,8.0,"['email', 'phone']",t,t,,Theater District,Manhattan,40.75785,-73.98502,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Dedicated workspace"", ""Essentials"", ""Cooking basics"", ""Stove"", ""Sound system"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Coffee maker: pour-over coffee"", ""Dryer"", ""Washer"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Window guards"", ""Refrigerator"", ""Oven"", ""Hot water kettle"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Microwave"", ""Bed linens"", ""Pets allowed"", ""Baking sheet"", ""First aid kit"", ""Conditioner"", ""Smoke alarm"", ""Elevator"", ""Body soap"", ""Clothing storage"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Freezer"", ""Air conditioning"", ""Heating"", ""Shower gel"", ""Dishwasher"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Cleaning products"", ""City skyline view"", ""Coffee"", ""Gym"", ""Long term stays allowed"", ""Shampoo"", ""Host greets you""]",$315.00,30,61,30,30,61,61,30.0,61.0,,t,8,30,60,240,2025-06-17,62,0,0,168,2,0,0.0,2022-08-22,2024-06-01,4.92,4.95,4.85,4.82,5.0,5.0,4.74,,f,2,2,0,0,1.8
22000,658593619913286406,https://www.airbnb.com/rooms/658593619913286406,20250617032754,2025-06-17,previous scrape,Shoreham Hotel - Touchless Chic Room,"Stay safe, stay Jurny! No human interaction is needed during your stay. Our units are fully automated &amp; guests are in control.",,https://a0.muscache.com/pictures/prohost-api/Hosting-658593619913286406/original/92c200fe-4473-4e5d-89bc-0656c2c200e2.jpeg,423873487,https://www.airbnb.com/users/show/423873487,Shoreham,2021-09-20,,,,,,f,https://a0.muscache.com/im/pictures/user/16025200-31b6-44a0-8661-350ae88dd79a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/16025200-31b6-44a0-8661-350ae88dd79a.jpg?aki_policy=profile_x_medium,,42.0,43.0,"['email', 'phone']",t,f,,Midtown,Manhattan,40.76132,-73.97716,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Carbon monoxide alarm"", ""Essentials"", ""Conditioner"", ""Hangers"", ""TV with standard cable"", ""Smoke alarm"", ""Elevator"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Shampoo"", ""Heating"", ""Air conditioning""]",,1,1125,1,1,1125,1125,1.0,1125.0,,,0,0,0,0,2025-06-17,19,0,0,0,0,0,,2022-06-29,2022-12-18,4.47,4.68,4.63,4.63,4.74,4.89,4.42,Exempt,f,41,41,0,0,0.53
22200,670508782333755778,https://www.airbnb.com/rooms/670508782333755778,20250617032754,2025-06-17,previous scrape,SUPER Cozy Brooklyn Home,"Our home offers a warm and inviting atmosphere, perfect for relaxing after a day of exploring the city. With strong WiFi throughout, you can stay connected and even work remotely if needed. The location is ideal—just steps away from local cafes, unique shops, parks,and vibrant neighborhoods",,https://a0.muscache.com/pictures/081db21e-26e8-40f3-a5ae-901177a66e25.jpg,462877490,https://www.airbnb.com/users/show/462877490,Diana,2022-06-06,"New York, NY","Hi everyone I love  traveling   , I’m very friendly,loving  and kind  person looking to share my home for your journey  and also share yours for mine ",within an hour,75%,100%,f,https://a0.muscache.com/im/pictures/user/User-462877490/original/05b79e75-885f-4034-a2f3-0859fbb8f36c.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-462877490/original/05b79e75-885f-4034-a2f3-0859fbb8f36c.jpeg?aki_policy=profile_x_medium,Cypress Hills,3.0,5.0,"['email', 'phone']",t,t,,Cypress Hills,Brooklyn,40.68886,-73.87038,Private room in home,Private room,1,,1 shared bath,,,"[""Dedicated workspace"", ""Essentials"", ""Exterior security cameras on property"", ""Fast wifi \u2013 475 Mbps"", ""Cooking basics"", ""Stove"", ""Dishes and silverware"", ""Hot water"", ""32 inch HDTV"", ""Lock on bedroom door"", ""Kitchen"", ""Keypad"", ""Oven"", ""Refrigerator"", ""Hot water kettle"", ""Paid washer \u2013 In building"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Microwave"", ""Baking sheet"", ""Smoke alarm"", ""Paid dryer \u2013 In building"", ""Self check-in"", ""Clothing storage: closet"", ""Hair dryer"", ""Iron"", ""Carbon monoxide alarm"", ""Coffee maker: drip coffee maker"", ""Barbecue utensils"", ""Shared patio or balcony"", ""Cleaning products"", ""Long term stays allowed"", ""Window AC unit"", ""Coffee"", ""Free street parking"", ""Ceiling fan"", ""Shampoo"", ""Central heating""]",,30,165,30,30,165,165,30.0,165.0,,t,16,46,76,351,2025-06-17,28,0,0,184,2,0,,2022-09-10,2024-04-11,4.79,4.75,4.89,4.82,4.75,4.79,4.64,,f,3,0,3,0,0.83
22400,684896122783940646,https://www.airbnb.com/rooms/684896122783940646,20250617032754,2025-06-17,previous scrape,Huge Clean Loft - Amenities & Monthly Discount,"New listing & monthly discount!<br /><br />Spacious, sunny and clean loft in Williamsburg! Quiet south facing corner unit makes for bright peaceful space to recharge, work, or work out. Just a few blocks from Lorimer L, G, JMZ trains. Under 20 min to Manhattan, Long Island City, or Fort Green.<br /><br />Note: I have a friendly cat. Most things are automated but litter needs weekly service. Low maintenance and she has converted non-cat people : )","Right in the middle of Williamsburg. Tons of restaurants, bars, parks and culture within blocks.",https://a0.muscache.com/pictures/miso/Hosting-684896122783940646/original/b9dbeb84-9a03-4e70-8557-1b5c5a8779d3.jpeg,64648495,https://www.airbnb.com/users/show/64648495,Steven,2016-03-27,United States,,,,,f,https://a0.muscache.com/im/pictures/user/eb82e8a7-f1fb-489e-8e8e-3fa76a783518.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/eb82e8a7-f1fb-489e-8e8e-3fa76a783518.jpg?aki_policy=profile_x_medium,Southside,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Williamsburg,Brooklyn,40.7097,-73.94861,Entire loft,Entire home/apt,2,,1 bath,1.0,,"[""Dedicated workspace"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""Essentials"", ""Exterior security cameras on property"", ""Cooking basics"", ""Sonos Bluetooth sound system"", ""Blender"", ""Free dryer \u2013 In unit"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Portable fans"", ""Dining table"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Bidet"", ""Bathtub"", ""Hangers"", ""Refrigerator"", ""Oven"", ""Private gym in building"", ""Clothing storage: walk-in closet and closet"", ""Exercise equipment"", ""Fire extinguisher"", ""Bed linens"", ""Smoke alarm"", ""Dove body soap"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Gas stove"", ""Carbon monoxide alarm"", ""Freezer"", ""Heating"", ""Dishwasher"", ""Cleaning products"", ""Long term stays allowed"", ""Laundromat nearby"", ""Lockbox""]",,30,80,30,30,80,80,30.0,80.0,,t,0,0,0,0,2025-06-17,0,0,0,0,0,0,,,,,,,,,,,,f,1,1,0,0,
22600,696203267090675587,https://www.airbnb.com/rooms/696203267090675587,20250617032754,2025-06-17,city scrape,The Dutch Colonial,"Welcome to the quaint apartment in our Dutch Colonial in East Flatbush! You’ll enjoy staying on this quiet and well kept block on a residential street, and get to Manhattan in under 30 minutes!",,https://a0.muscache.com/pictures/airflow/Hosting-696203267090675587/original/ab72b72c-708b-44e8-901e-71a43b0502d6.jpg,9428817,https://www.airbnb.com/users/show/9428817,Gabriel,2013-10-14,"New York, NY","We love to travel, and love to host! Hope to see you at our home or yours soon ✌️ ",within a few hours,90%,58%,t,https://a0.muscache.com/im/pictures/user/9e912034-8896-41a8-a47f-39ed9fdb83a0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9e912034-8896-41a8-a47f-39ed9fdb83a0.jpg?aki_policy=profile_x_medium,Little Haiti,1.0,1.0,"['email', 'phone']",t,t,,East Flatbush,Brooklyn,40.64867823798895,-73.94727844744921,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dedicated workspace"", ""Essentials"", ""Cooking basics"", ""Private entrance"", ""Dishes and silverware"", ""Hot water"", ""Radiant heating"", ""Kitchen"", ""Keypad"", ""Hangers"", ""Refrigerator"", ""Hot water kettle"", ""Fire extinguisher"", ""Bed linens"", ""First aid kit"", ""Conditioner"", ""Smoke alarm"", ""Body soap"", ""Self check-in"", ""Clothing storage: closet"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Coffee maker: drip coffee maker"", ""HDTV with Netflix"", ""Extra pillows and blankets"", ""Cleaning products"", ""Long term stays allowed"", ""Free street parking"", ""Induction stove"", ""Shampoo"", ""Laundromat nearby""]",$99.00,30,270,30,30,270,270,30.0,270.0,,t,0,15,45,320,2025-06-17,19,4,0,153,3,240,23760.0,2023-01-01,2025-03-30,4.79,4.95,4.79,4.84,5.0,4.63,4.74,,f,1,1,0,0,0.63
22800,707250744053305867,https://www.airbnb.com/rooms/707250744053305867,20250617032754,2025-06-17,city scrape,Natasha's,"Charming room in Flatlands Brooklyn.  Charming guest suite in a shared home, with everything you'll need for your stay! One queen-sized bed, and a desk for individuals that need to work remotely.   The bedroom has high ceilings and large windows that lets in the beautiful morning sunlight. <br /><br />My home is a few feet away from the local and private bus routes.  15 min ride to the NYC Subways and available local parking.  A 20 minute drive from JFK airport.",Quiet and Peaceful,https://a0.muscache.com/pictures/miso/Hosting-707250744053305867/original/ee399c2e-f587-4737-b7ea-bd9dfcb5f40b.jpeg,195479167,https://www.airbnb.com/users/show/195479167,Natasha,2018-06-13,"New York, United States",My home is my sanctuary… I hope to make it yours during your stay..,within an hour,100%,95%,t,https://a0.muscache.com/im/pictures/user/655fe46b-18ee-49c4-806c-68ea1e4fa3bc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/655fe46b-18ee-49c4-806c-68ea1e4fa3bc.jpg?aki_policy=profile_x_medium,Flatlands,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Flatlands,Brooklyn,40.6249207,-73.93380069999999,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,"[""Dedicated workspace"", ""Mini fridge"", ""Essentials"", ""Exterior security cameras on property"", ""Cooking basics"", ""Dishes and silverware"", ""Private backyard"", ""Hot water"", ""Stainless steel oven"", ""Portable heater"", ""Fast wifi \u2013 705 Mbps"", ""Kitchen"", ""Hangers"", ""Refrigerator"", ""Crib"", ""50 inch HDTV with standard cable"", ""Hot water kettle"", ""Wine glasses"", ""Fire extinguisher"", ""Electric stove"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Smoke alarm"", ""Dove body soap"", ""Clothing storage: closet"", ""Hair dryer"", ""Iron"", ""Carbon monoxide alarm"", ""Freezer"", ""Laundromat nearby"", ""Cleaning products"", ""Long term stays allowed"", ""Window AC unit"", ""Coffee"", ""Free street parking"", ""Central heating"", ""Host greets you""]",$104.00,2,28,2,2,1125,1125,2.0,1125.0,,t,0,1,1,162,2025-06-17,100,34,2,90,41,255,26520.0,2022-11-20,2025-06-02,4.9,4.92,4.95,4.91,4.92,4.8,4.83,OSE-STRREG-0000239,f,1,0,1,0,3.19
23000,715332697833872098,https://www.airbnb.com/rooms/715332697833872098,20250617032754,2025-06-17,city scrape,The Quin By Hilton - Studio Premier Plus,"Now a premier boutique-style timeshare resort, The Quin boasts sweeping views of Central Park and the ability to connect to all the city has to offer, from elegant dining experiences to Broadway shows and high-end shopping. Fill your bags and your chops, then rest your head in a storied space.","Inspired Manhattan moments begin at The Quin, a Hilton Club, a New York legacy once home to this century's greatest artists. Positioned just steps from the city's cultural wonders and premier attractions, The Quin, a Hilton Club was once home to this century’s greatest artists.",https://a0.muscache.com/pictures/prohost-api/Hosting-715332697833872098/original/18938c0a-8b2e-4886-9a4a-cbdf9b6900af.png,475709628,https://www.airbnb.com/users/show/475709628,Bruce,2022-08-18,,,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/69e9c70c-88e8-47e6-b5a1-95f209d9ad54.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/69e9c70c-88e8-47e6-b5a1-95f209d9ad54.jpg?aki_policy=profile_x_medium,,9.0,13.0,"['email', 'phone']",t,f,Neighborhood highlights,Midtown,Manhattan,40.764735605917,-73.9773830117433,Private room in resort,Private room,2,1.0,1 private bath,0.0,1.0,"[""Dedicated workspace"", ""Mini fridge"", ""Essentials"", ""Dishes and silverware"", ""TV"", ""Hot water"", ""Dining table"", ""Dryer"", ""Washer"", ""Kitchen"", ""Bathtub"", ""Hangers"", ""Crib"", ""Paid parking on premises"", ""Resort access"", ""Exercise equipment"", ""Fire extinguisher"", ""Microwave"", ""Bed linens"", ""First aid kit"", ""Smoke alarm"", ""Elevator"", ""Body soap"", ""Clothing storage"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Heating"", ""Dishwasher"", ""Coffee maker"", ""Safe"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Gym"", ""Building staff"", ""Ceiling fan"", ""Shampoo""]",$776.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,25,53,282,2025-06-17,0,0,0,159,0,0,0.0,,,,,,,,,,Exempt,t,9,0,9,0,
